etas,w_mean,w_std,v_mean,v_std,R_ibs_mean,R_ibs_std,c_ind_mean,c_ind_std
6.0,0.06630927644135212,0.004908396629676002,0.13662320773592357,0.0034227363699237704,0.9378792991271625,0.03343345533107445,0.5878731889702447,0.022589020974824608
5.796551724137931,0.068294370748691,0.005052203919409155,0.1406164847081031,0.0035168880191777767,0.9373608984934678,0.03429836340054283,0.5879255335722074,0.02262070643338167
5.593103448275862,0.07040394226889275,0.005204951801226647,0.144856824001712,0.003616772943921058,0.9368814828139853,0.035209297756235644,0.5879993768499766,0.022602118542032576
5.389655172413793,0.0726502541959214,0.005367524242205968,0.1493684657960388,0.003722957397000737,0.9364507408717087,0.036170030095916204,0.5880576413771614,0.022575494254219
5.186206896551724,0.0750472575709749,0.005540928786337275,0.15417899945190672,0.003836086873067576,0.9360803459705908,0.0371847537897204,0.5881289920548373,0.022577423004156494
4.982758620689655,0.07761089596108123,0.005726319120465446,0.1593199743420909,0.003956900287774307,0.9357844063444759,0.038258143494900546,0.5882271381835176,0.022598816165715137
4.779310344827586,0.08035947904772128,0.005925023429290481,0.16482765112916886,0.004086248326486141,0.935580033540396,0.03939542516069205,0.5883037856363921,0.02259208178900115
4.575862068965517,0.08331414496444961,0.006138579261397014,0.17074393439529167,0.004225115087601371,0.9354880657095187,0.040602458564756846,0.5884196915407385,0.022614697225759588
4.372413793103448,0.08649943661343547,0.00636877772877298,0.17711753962206045,0.0043746460291549496,0.9355339939512881,0.04188583396022012,0.5884848107181804,0.02262852178992219
4.168965517241379,0.08994402704060427,0.006617719033263055,0.1840054679258377,0.004536182725917003,0.9357491595930449,0.04325298751926505,0.5885387131952018,0.022672754678655174
3.96551724137931,0.09368164140421577,0.006887884337809827,0.19147488926076017,0.004711306860353827,0.9361723164855964,0.04471233613648165,0.5886153606480761,0.022701194621901174
3.762068965517241,0.09775224114448498,0.007182228460942426,0.19960557365650441,0.004901897260054916,0.9368516871163655,0.04627343757122173,0.5886758062003429,0.022668882792867218
3.5586206896551724,0.10220356386510669,0.007504301925777224,0.20849307161896252,0.005110204198481493,0.9378477051639643,0.04794718215258465,0.5887979436049229,0.02263103974426012
3.3551724137931034,0.10709315085931666,0.007858413556309346,0.21825292941340035,0.005338946701881831,0.9392367108178141,0.04974601876086026,0.5889094874591059,0.022589241905701177
3.1517241379310343,0.11249105657402549,0.008249850845964543,0.22902636410735852,0.005591442051074335,0.941116002492188,0.05168422065872728,0.5889923664122138,0.02264887647190555
2.9482758620689653,0.11848352857988026,0.008685184110177989,0.24098803672704952,0.0058717823653613565,0.9436108523901072,0.053778197447213835,0.5891042218414083,0.02262000036644506
2.7448275862068963,0.12517809625660223,0.009172693500357003,0.2543569041884194,0.006185077931364965,0.9468844125756714,0.05604685621073253,0.5891699641688737,0.022585126911129384
2.5413793103448272,0.13271075415487807,0.009722984262637324,0.26941170496125894,0.006537797581852067,0.9511519842357984,0.0585120061834454,0.5892774575479046,0.022525700714824723
2.337931034482758,0.14125634436700618,0.010349895248802659,0.2865136182101835,0.0069382603074361945,0.9567020512419246,0.06119878904110579,0.5893942981772863,0.022499247387817476
2.134482758620689,0.1510439718560678,0.01107187992814475,0.306140384056435,0.007397358702692676,0.9639280984247043,0.0641360997174509,0.5894575479046579,0.022454177177038636
1.93103448275862,0.1623806322630092,0.011914181921563438,0.3289394497530243,0.007929657865846406,0.9733782988965132,0.06735689160922437,0.5895348185075557,0.02247799991935448
1.727586206896551,0.1756888050531623,0.01291240123472632,0.35581411053032896,0.008555127259905483,0.9858360258392074,0.07089820539436936,0.5896133354105,0.022387357771374433
1.524137931034482,0.19156902933891712,0.014118632067681255,0.3880700034581773,0.009301986271663058,1.0024564031189975,0.07480062319171558,0.5896784545879421,0.022398562684648873
1.320689655172413,0.2109099973771375,0.015612665424596573,0.4276793581284114,0.010211635547737519,1.025011229497371,0.07910687334287343,0.5896759619878487,0.022376250368858056
1.1172413793103448,0.2350962794284394,0.017523987091699705,0.4777943940754125,0.011347783821097399,1.0563605380013756,0.08386022872609049,0.5895563171833619,0.022424036033684352
0.9137931034482758,0.26643770456527,0.02007923656007918,0.5438459050838306,0.012814828073574518,1.1014476230759578,0.08910916191447098,0.5893634522511294,0.02230788517137921
0.7103448275862068,0.3091748868371312,0.02371852207402175,0.6362244295279474,0.014799397700776833,1.1696741832525885,0.09495523616508124,0.5887147530768033,0.02222122751786326
0.5068965517241377,0.3723070884979726,0.029439066044732037,0.7782069366361829,0.01768259997498867,1.2816624408342137,0.1018401915248888,0.5875828010593548,0.022094577701752913
0.3034482758620687,0.48036348733237344,0.0401746883427532,1.0380450076021486,0.02246922852557521,1.4946890839722535,0.11206984854067031,0.5851366256426234,0.021928536175767198
0.1,0.7530337061963942,0.07131717075714777,1.781728740629241,0.038927872150897366,2.065422330205783,0.13808251258125237,0.5787864153294905,0.022080714417297007
