etas,w,v,R_ibs,c_ind,cv_loss
3.050000000000063,0.10803077795015988,0.2666403972308108,1.0164801789398386,0.5811697683869363,1.1020472407100388
3.040000000000063,0.1082745916236833,0.26723302799419935,1.0166104984891216,0.5811710207217581,1.1021472369188876
3.0300000000000633,0.10851958648174084,0.26782857293739526,1.0167418345343768,0.5811747777262233,1.1022480856778811
3.0200000000000635,0.10876577156593312,0.2684270550901735,1.0168741974836986,0.5811747777262233,1.1023497965973132
3.0100000000000637,0.1090131560138237,0.2690284977366151,1.0170075978814013,0.5811772823958667,1.1024523794246877
3.000000000000064,0.10926174906025109,0.2696329244187323,1.0171420464102063,0.5811816655677429,1.102555844047104
2.990000000000064,0.10951156003866322,0.27024035894015863,1.0172775538934882,0.5811847964047971,1.1026602004936985
2.9800000000000644,0.10976259838247417,0.270850825369903,1.017414131297544,0.5811873010744406,1.1027654589381297
2.9700000000000646,0.11001487362644399,0.27146434804617076,1.0175517897339246,0.5811898057440841,1.1028716297011192
2.960000000000065,0.11026839540808182,0.2720809515802512,1.0176905404617949,0.5811929365811385,1.102978723253043
2.950000000000065,0.11052317346907303,0.2727006608604752,1.0178303948903542,0.5811929365811385,1.1030867502165798
2.9400000000000652,0.11077921765673054,0.2733235010562426,1.0179713645812942,0.5811973197530145,1.1031957213694112
2.9300000000000654,0.11103653792547125,0.2739494976221218,1.0181134612513099,0.5811979459204254,1.1033056476469827
2.9200000000000657,0.11129514433831764,0.2745786763020224,1.018256696774654,0.5811991982552471,1.1034165401453175
2.910000000000066,0.11155504706842538,0.2752110631334437,1.0184010831857524,0.5811998244226579,1.1035284101238974
2.900000000000066,0.11181625640063728,0.2758466844517987,1.0185466326818595,0.5812010767574797,1.1036412690085966
2.8900000000000663,0.11207878273306421,0.2764855668948175,1.018693357625774,0.5812017029248906,1.1037551283946827
2.8800000000000665,0.11234263657869376,0.2771277374070293,1.0188412705486025,0.5812035814271231,1.1038700000498838
2.8700000000000667,0.11260782856702661,0.27777322324432774,1.0189903841525876,0.5812079645989993,1.1039858959175146
2.860000000000067,0.11287436944574192,0.27842205197861813,1.019140711313979,0.5812123477708753,1.1041028281196763
2.850000000000067,0.1131422700823918,0.27907425150255066,1.0192922650859768,0.581213600105697,1.1042208089605212
2.8400000000000674,0.11341154146612586,0.2797298500343407,1.0194450587017239,0.5812204879472166,1.1043398509295912
2.8300000000000676,0.11368219470944599,0.2803888761226779,1.0195991055773614,0.5812223664494492,1.104459966705226
2.820000000000068,0.11395424104999255,0.28105135865172626,1.019754419315146,0.5812261234539144,1.104581169158048
2.810000000000068,0.11422769185236234,0.2817173268462174,1.019911013706635,0.5812286281235579,1.1047034713545207
2.800000000000068,0.11450255860995898,0.2823868102766385,1.0200689027359282,0.5812305066257905,1.1048268865605895
2.7900000000000684,0.11477885294687662,0.28305983886451724,1.0202281005829836,0.5812311327932014,1.1049514282453963
2.7800000000000686,0.11505658661981728,0.2837364428878069,1.0203886216269946,0.5812323851280231,1.105077110085083
2.770000000000069,0.11533577152004312,0.28441665298637153,1.0205504804498433,0.5812336374628448,1.1052039459666745
2.760000000000069,0.11561641967536399,0.2851005001675762,1.0207136918396225,0.5812380206347209,1.1053319499920502
2.7500000000000693,0.11589854325216087,0.2857880158119823,1.0208782707942257,0.581241777639186,1.1054611364820037
2.7400000000000695,0.11618215455744671,0.28647923167915207,1.0210442325250195,0.581242403806597,1.1055915199803936
2.7300000000000697,0.11646726604096447,0.28717417991356364,1.0212115924605896,0.581242403806597,1.1057231152583862
2.72000000000007,0.116753890297324,0.2878728930506394,1.0213803662505638,0.5812442823088295,1.1058559373187977
2.71000000000007,0.11704204006817825,0.2885754040228913,1.0215505697695175,0.5812461608110622,1.1059900014005304
2.7000000000000703,0.11733172824443978,0.2892817461661831,1.0217222191209592,0.5812492916481165,1.1061253229831112
2.6900000000000706,0.11762296786853815,0.2899919532261158,1.0218953306414034,0.5812530486525816,1.1062619177913344
2.6800000000000708,0.1179157721367197,0.2907060593645362,1.0220699209045259,0.5812555533222251,1.106399801800011
2.670000000000071,0.11821015440139004,0.29142409916617307,1.0222460067254138,0.5812586841592795,1.1065389912388244
2.660000000000071,0.11850612817350087,0.29214610764540294,1.0224236051648965,0.5812599364941012,1.1066795025973017
2.6500000000000714,0.11880370712498087,0.292872120253149,1.0226027335339822,0.581261188828923,1.1068213526298973
2.6400000000000716,0.11910290509121362,0.29360217288391627,1.0227834093983768,0.5812661981682099,1.1069645583611942
2.630000000000072,0.11940373607356164,0.29433630188296633,1.022965650583111,0.5812680766704424,1.1071091370912296
2.620000000000072,0.11970621424193872,0.29507454405363376,1.023149475177262,0.5812699551726751,1.107255106400941
2.6100000000000723,0.12001035393743165,0.29581693666479003,1.0233349015387785,0.5812705813400859,1.1074024841577446
2.6000000000000725,0.12031616967497152,0.2965635174584552,1.0235219482994131,0.5812768430141946,1.1075512885212389
2.5900000000000727,0.12062367614605704,0.2973143246575637,1.023710634369757,0.5812780953490163,1.1077015379490502
2.580000000000073,0.1209328882215301,0.2980693969738868,1.0239009789443985,0.581279347683838,1.1078532512028112
2.570000000000073,0.12124382095440497,0.29882877361611443,1.0240930015071743,0.581279347683838,1.1080064473542852
2.5600000000000733,0.12155648958275289,0.29959249429810253,1.0242867218365599,0.581279973851249,1.1081611457916354
2.5500000000000735,0.12187090953264257,0.30036059924728775,1.0244821600111615,0.5812824785208924,1.1083173662258439
2.5400000000000738,0.12218709642113842,0.30113312921327495,1.0246793364153401,0.5812837308557142,1.108475128697288
2.530000000000074,0.12250506605935771,0.3019101254766006,1.0248782717449592,0.5812849831905359,1.1086344535824715
2.520000000000074,0.12282483445558809,0.30269162985767817,1.02507898701326,0.5812874878601794,1.1087953616009227
2.5100000000000744,0.12314641781846666,0.30347768472592695,1.0252815035568716,0.5812874878601794,1.1089578738222599
2.5000000000000746,0.12346983256022243,0.3042683330090922,1.0254858430419507,0.5812881140275902,1.109122011673427
2.490000000000075,0.12379509529998345,0.3050636182027594,1.0256920274704746,0.5812881140275902,1.10928779694611
2.480000000000075,0.1241222228671499,0.30586358438006733,1.0259000791866584,0.5812868616927684,1.1094552518043341
2.4700000000000752,0.12445123230483539,0.30666827620162573,1.0261100208835328,0.5812874878601794,1.1096243987922507
